season,st_id,beta
202103,2485,1.346455747
202103,2527,0.911617195
202103,2537,0.781491028
202103,2548,0.306172565
202103,2617,2.021017372
202103,2704,0.40051212
202103,2823,0.26146848
202103,2845,0.347305235
202103,2915,1.471096514
202103,3011,1.356963079
202103,3015,1.163906399
202103,3036,1.046653774
202103,3047,1.044967081
202103,3050,0.624145919
202103,3060,2.234082951
202103,3202,1.152384278
202103,3252,0.713909771
202103,3265,1.720571211
202103,3290,0.231969901
202103,3297,1.462237895
202103,3303,0.280066661
202103,3363,1.290135776
202103,3432,0.856948068
202103,3434,-0.083320071
202103,3481,0.978044584
202103,3607,1.434303158
202103,3622,1.229742949
202103,3689,1.937771809
202103,3706,0.543341944
202103,3710,0.68390918
202103,3714,1.515904919
202103,4303,0.248875483
202103,4414,0.534320819
202103,4534,1.541975134
202103,4707,0.543724601
202103,4714,1.098032349
202103,4930,1.122282326
202103,5011,0.668673852
202103,5014,2.261700747
202103,5426,0.227020211
202103,5469,1.310869829
202103,5521,0.654607849
202103,5603,1.854137051
202103,6120,1.708840494
202103,6153,1.333013074
202103,6156,1.021254546
202103,6163,1.169999154
202103,6167,0.689575784
202103,6191,1.021065642
202103,6251,1.452320951
202103,6265,1.092656398
202103,6270,0.758809686
202103,6605,0.762178794
202103,8091,0.75556691
202103,8105,1.448013165
202103,8249,0.502904199
202103,9907,0.924395497
202103,1103,0.975079125
202103,1315,0.428193884
202103,1409,1.181433691
202103,1442,0.18276957
202103,1451,0.705414311
202103,1459,2.097841212
202103,1460,1.056781776
202103,1471,1.868712676
202103,1528,0.714380375
202103,1532,0.617619685
202103,1539,0.43024509
202103,1595,0.974164655
202103,1604,-0.098890752
202103,1605,1.781948298
202103,1718,1.259736014
202103,1806,1.309664893
202103,1810,1.032374162
202103,1815,1.699812376
202103,2002,0.760636674
202103,2008,1.682569421
202103,2023,1.912988543
202103,2062,1.003291143
202103,2069,2.213676112
202103,2103,1.111212191
202103,2104,1.176722858
202103,2208,1.301171829
202103,2316,0.747225933
202103,2323,0.914976955
202103,2324,0.046433806
202103,2337,1.096672265
202103,2347,0.816508221
202103,2349,0.674646666
202103,2355,1.408417085
202103,2363,1.800703891
202103,2408,0.967413008
202103,2409,1.181962139
202103,2444,0.689014241
202103,2471,0.432674746
202103,2482,1.660941358
202103,2485,1.5451761
202103,2527,0.961830957
202103,2537,0.806434173
202103,2548,0.364113581
202103,2617,2.243231668
202103,2704,0.464918324
202103,2823,0.303395708
202103,2852,0.528153029
202103,2915,1.589346819
202103,3011,1.591694426
202103,3015,1.279513795
202103,3047,1.394851352
202103,3050,0.67490863
202103,3060,2.109713202
202103,3114,1.407434459
202103,3202,1.196966356
202103,3265,1.669023998
202103,3290,0.072606471
202103,3297,1.542831464
202103,3303,0.559274581
202103,3363,1.667048471
202103,3390,0.429532085
202103,3432,0.805856235
202103,3481,1.003385786
202103,3607,1.530285914
202103,3615,1.47626391
202103,3622,1.31420098
202103,3689,1.927735296
202103,3706,0.586248857
202103,3710,0.649697454
202103,3714,1.524522201
202103,4414,0.965027273
202103,4526,0.937991867
202103,4529,0.773286536
202103,4534,1.635323527
202103,4541,0.839271288
202103,4714,1.170075535
202103,4930,1.275752463
202103,5014,2.076723781
202103,5315,0.946429972
202103,5426,0.220089819
202103,5469,1.36292649
202103,5512,0.374659843
202103,5521,0.788723218
202103,5603,1.50128323
202103,6120,1.841799039
202103,6136,0.419487737
202103,6153,1.62730624
202103,6156,0.896782818
202103,6163,1.573827243
202103,6167,0.651789147
202103,6191,0.859224753
202103,6251,1.596080305
202103,6270,0.973320538
202103,8091,0.94226969
202103,8096,1.267358555
202103,8105,1.545540165
202103,8222,1.053860834
202103,8249,1.007702223
202103,9907,0.856833322
202103,9962,1.990769691
202004,1103,0.795997254
202004,1109,0.520077889
202004,1304,1.385871522
202004,1308,0.903173113
202004,1310,0.763202604
202004,1312,1.028969622
202004,1313,1.216891929
202004,1314,1.424418848
202004,1417,0.489103584
202004,1423,0.87922023
202004,1440,1.349956098
202004,1444,1.099597333
202004,1447,1.410339272
202004,1451,0.580159815
202004,1452,0.494908438
202004,1455,1.321724597
202004,1456,0.950194838
202004,1466,-0.04820209
202004,1474,0.541609004
202004,1517,0.669151227
202004,1532,0.699307414
202004,1608,1.792588245
202004,1802,1.629491234
202004,1806,0.312168455
202004,1815,0.76237014
202004,2007,1.8182883
202004,2010,1.238310103
202004,2017,1.431613597
202004,2023,1.509949771
202004,2029,1.302083713
202004,2030,1.32619564
202004,2062,0.680873414
202004,2104,0.890982031
202004,2201,0.907928029
202004,2323,1.112035644
202004,2324,0.670367166
202004,2332,0.917094224
202004,2355,0.780608779
202004,2362,0.540505474
202004,2374,0.469783786
202004,2380,0.755832845
202004,2409,1.775104341
202004,2442,0.763033032
202004,2453,0.479364334
202004,2474,0.97554152
202004,2489,0.862754387
202004,2498,0.584015772
202004,2501,0.740934815
202004,2509,0.430498737
202004,2511,0.800191031
202004,2514,0.324424224
202004,2520,0.345017141
202004,2527,0.556334224
202004,2534,0.290922655
202004,2547,1.015110316
202004,2601,0.873597077
202004,2610,0.807490559
202004,2611,1.324332188
202004,2618,0.791672996
202004,2743,0.558253656
202004,2867,0.537830033
